cancer_domain,search_query,contributor,source,scope_category
lung,Who qualifies for low-dose CT (LDCT) lung cancer screening,Xinhui,WTO,Pre-screening education
lung,How to prepare for LDCT lung cancer screening,Xinhui,Pamphlets,Pre-screening education
lung,What happens during a lung cancer screening CT scan?,Tanay,LUNGevity (Lung Cancer Screening resources),Anxiety Reduction
lung,lung cancer screening guidelines,Xinhui,American Cancer Society,Pre-screening education
lung,Does Medicare cover LDCT lung cancer screening,Xinhui,American Cancer Society,Pre-screening education
colon,When should I start colorectal cancer screening? (age 45 vs 50),Yiran,CDC: Screening for Colorectal Cancer,Pre-screening education
colon,Colonoscopy vs FIT stool test: which screening test is right for me?,Yiran,American Cancer Society colorectal screening guideline,Pre-screening education
colon,How often do I need colorectal cancer screening?,Suzie,American Cancer Society,Pre-screening education
colon,Which colorectal cancer screening tests do not require bowel prep?,Suzie,American Cancer Society,Pre-screening education / anxiety reduction
colon,How do I schedule a colorectal cancer screening?,Suzie,American Cancer Society,Pre-screening education
